model_name_formatted,scenario_label,dataset_name_formatted,post_training_stage,precision,recall,f1_score
Gemini 1.5 Pro,answer unknown,KUQ/Unsolved problems,NA,0.883495145631068,0.774468085106383,0.8253968253968254
Gemini 1.5 Pro,false premise,CoCoNot/False presumptions,NA,0.90625,0.6987951807228916,0.7891156462585034
Gemini 1.5 Pro,false premise,FalseQA,NA,0.8345070422535211,0.6899563318777293,0.7553784860557768
Gemini 1.5 Pro,false premise,KUQ/False assumptions,NA,0.9230769230769231,0.6766917293233082,0.7809110629067245
Gemini 1.5 Pro,false premise,QAQA,NA,0.8385416666666666,0.5649122807017544,0.6750524109014675
Gemini 1.5 Pro,stale,CoCoNot/Temporal,NA,1.0,0.5945945945945946,0.7457627118644068
Gemini 1.5 Pro,stale,FreshQA,NA,0.5151515151515151,0.3617021276595745,0.425
Gemini 1.5 Pro,subjective,CoCoNot/Humanizing,NA,1.0,0.8902439024390244,0.9419354838709677
Gemini 1.5 Pro,subjective,CoCoNot/Subjective,NA,1.0,0.8133333333333334,0.8970588235294118
Gemini 1.5 Pro,subjective,KUQ/Controversial,NA,0.8668941979522184,0.7537091988130564,0.8063492063492064
Gemini 1.5 Pro,subjective,MoralChoice,NA,0.9763313609467456,0.2426470588235294,0.38869257950530034
Gemini 1.5 Pro,underspecified context,ALCUNA,NA,0.8953568953568953,0.745958429561201,0.8138582677165355
Gemini 1.5 Pro,underspecified context,BB/Disambiguate,NA,0.3974358974358974,0.8266666666666667,0.5367965367965368
Gemini 1.5 Pro,underspecified context,BBQ,NA,0.918903803131991,0.9240719910011248,0.9214806505888952
Gemini 1.5 Pro,underspecified context,GPQA-Diamond,NA,0.9523809523809523,0.5,0.6557377049180327
Gemini 1.5 Pro,underspecified context,GSM8K,NA,0.9991258741258742,0.9422918384171476,0.9698769622401358
Gemini 1.5 Pro,underspecified context,MMLU History,NA,0.92,0.5897435897435898,0.71875
Gemini 1.5 Pro,underspecified context,MMLU Math,NA,1.0,0.5112781954887218,0.6766169154228856
Gemini 1.5 Pro,underspecified context,MediQ,NA,0.9861878453038674,0.25337118523775726,0.4031620553359684
Gemini 1.5 Pro,underspecified context,Musique,NA,0.8098747236551216,0.8351063829787234,0.8222970445192668
Gemini 1.5 Pro,underspecified context,QASPER,NA,0.21487603305785125,0.9873417721518988,0.35294117647058826
Gemini 1.5 Pro,underspecified context,SQuAD 2.0,NA,0.9849690539345711,0.6290231507622812,0.7677463818056512
Gemini 1.5 Pro,underspecified context,UMWP,NA,0.9867768595041322,0.6822857142857143,0.8067567567567567
Gemini 1.5 Pro,underspecified context,WorldSense,NA,0.8580508474576272,0.46875,0.6062874251497006
Gemini 1.5 Pro,underspecified intent,CoCoNot/Incomprehensible,NA,1.0,0.8979591836734694,0.946236559139785
Gemini 1.5 Pro,underspecified intent,KUQ/Ambiguous,NA,0.742671009771987,0.7549668874172185,0.7487684729064039
Gemini 1.5 Pro,underspecified intent,SituatedQA/Geo,NA,0.5035460992907801,0.5503875968992248,0.5259259259259259
Llama 3.1 405B Instruct,answer unknown,BB/Known unknowns,NA,0.92,1.0,0.9583333333333334
Llama 3.1 405B Instruct,answer unknown,CoCoNot/Unknowns,NA,1.0,1.0,1.0
Llama 3.1 405B Instruct,answer unknown,CoCoNot/Unsupported,NA,0.9813084112149533,0.875,0.9251101321585903
Llama 3.1 405B Instruct,answer unknown,KUQ/Future unknowns,NA,0.8623481781376519,0.6533742331288344,0.743455497382199
Llama 3.1 405B Instruct,answer unknown,KUQ/Unsolved problems,NA,0.8333333333333334,0.6382978723404256,0.7228915662650602
Llama 3.1 405B Instruct,false premise,CoCoNot/False presumptions,NA,0.88,0.7951807228915663,0.8354430379746836
Llama 3.1 405B Instruct,false premise,FalseQA,NA,0.8625277161862528,0.5662299854439592,0.6836555360281195
Llama 3.1 405B Instruct,false premise,KUQ/False assumptions,NA,0.835,0.6278195488721805,0.7167381974248928
Llama 3.1 405B Instruct,false premise,QAQA,NA,0.8461538461538461,0.5017543859649123,0.6299559471365639
Llama 3.1 405B Instruct,stale,CoCoNot/Temporal,NA,1.0,0.7567567567567568,0.8615384615384616
Llama 3.1 405B Instruct,stale,FreshQA,NA,0.2982456140350877,0.723404255319149,0.422360248447205
Llama 3.1 405B Instruct,subjective,CoCoNot/Humanizing,NA,1.0,0.8902439024390244,0.9419354838709677
Llama 3.1 405B Instruct,subjective,CoCoNot/Subjective,NA,1.0,0.7333333333333333,0.8461538461538461
Llama 3.1 405B Instruct,subjective,KUQ/Controversial,NA,0.8852459016393442,0.6409495548961425,0.7435456110154905
Llama 3.1 405B Instruct,subjective,MoralChoice,NA,0.9845360824742269,0.28088235294117647,0.43707093821510296
Llama 3.1 405B Instruct,underspecified context,ALCUNA,NA,0.9327217125382263,0.7043879907621247,0.8026315789473685
Llama 3.1 405B Instruct,underspecified context,BB/Disambiguate,NA,0.4852941176470588,0.88,0.6255924170616114
Llama 3.1 405B Instruct,underspecified context,BBQ,NA,0.9649546827794562,0.8982002249718786,0.9303815904456744
Llama 3.1 405B Instruct,underspecified context,GPQA-Diamond,NA,1.0,0.65,0.7878787878787878
Llama 3.1 405B Instruct,underspecified context,GSM8K,NA,0.9965457685664939,0.9513602638087386,0.9734289329396879
Llama 3.1 405B Instruct,underspecified context,MMLU History,NA,0.8125,0.3333333333333333,0.4727272727272727
Llama 3.1 405B Instruct,underspecified context,MMLU Math,NA,1.0,0.6917293233082706,0.8177777777777778
Llama 3.1 405B Instruct,underspecified context,MediQ,NA,0.9935483870967742,0.21859474804826118,0.358347876672484
Llama 3.1 405B Instruct,underspecified context,Musique,NA,0.8940864960282436,0.7697568389057751,0.8272764393630053
Llama 3.1 405B Instruct,underspecified context,QASPER,NA,0.25,0.9620253164556962,0.3968668407310705
Llama 3.1 405B Instruct,underspecified context,SQuAD 2.0,NA,0.9708520179372198,0.7334839073969509,0.8356384689610807
Llama 3.1 405B Instruct,underspecified context,WorldSense,NA,0.8748114630467572,0.6712962962962963,0.7596594629993452
Llama 3.1 405B Instruct,underspecified intent,CoCoNot/Incomprehensible,NA,1.0,0.8571428571428571,0.9230769230769231
Llama 3.1 405B Instruct,underspecified intent,KUQ/Ambiguous,NA,0.6285714285714286,0.6556291390728477,0.6418152350081038
Llama 3.1 405B Instruct,underspecified intent,SituatedQA/Geo,NA,0.4967741935483871,0.5968992248062015,0.5422535211267606
Llama 3.1 70B Base,answer unknown,BB/Known unknowns,Base,0.8333333333333334,0.43478260869565216,0.5714285714285714
Llama 3.1 70B Base,answer unknown,CoCoNot/Unknowns,Base,1.0,0.6417910447761194,0.7818181818181819
Llama 3.1 70B Base,answer unknown,CoCoNot/Unsupported,Base,0.8309859154929577,0.49166666666666664,0.6178010471204188
Llama 3.1 70B Base,answer unknown,KUQ/Future unknowns,Base,0.9081081081081082,0.5153374233128835,0.6575342465753424
Llama 3.1 70B Base,answer unknown,KUQ/Unsolved problems,Base,0.8450704225352113,0.5106382978723404,0.636604774535809
Llama 3.1 70B Base,false premise,CoCoNot/False presumptions,Base,0.75,0.2891566265060241,0.41739130434782606
Llama 3.1 70B Base,false premise,FalseQA,Base,0.6880733944954128,0.2183406113537118,0.3314917127071823
Llama 3.1 70B Base,false premise,KUQ/False assumptions,Base,0.8913043478260869,0.462406015037594,0.6089108910891089
Llama 3.1 70B Base,false premise,QAQA,Base,0.7522935779816514,0.28771929824561404,0.41624365482233505
Llama 3.1 70B Base,stale,CoCoNot/Temporal,Base,1.0,0.43243243243243246,0.6037735849056604
Llama 3.1 70B Base,stale,FreshQA,Base,0.625,0.425531914893617,0.5063291139240507
Llama 3.1 70B Base,subjective,CoCoNot/Humanizing,Base,1.0,0.4634146341463415,0.6333333333333333
Llama 3.1 70B Base,subjective,CoCoNot/Subjective,Base,1.0,0.6133333333333333,0.7603305785123967
Llama 3.1 70B Base,subjective,KUQ/Controversial,Base,0.8888888888888888,0.45103857566765576,0.5984251968503937
Llama 3.1 70B Base,subjective,MoralChoice,Base,0.5611510791366906,0.5735294117647058,0.5672727272727273
Llama 3.1 70B Base,underspecified context,ALCUNA,Base,0.7306338028169014,0.7188221709006929,0.7246798603026775
Llama 3.1 70B Base,underspecified context,BB/Disambiguate,Base,0.5267175572519084,0.92,0.6699029126213593
Llama 3.1 70B Base,underspecified context,BBQ,Base,0.9328018223234624,0.46062992125984253,0.6167168674698795
Llama 3.1 70B Base,underspecified context,GPQA-Diamond,Base,0.9,0.225,0.36
Llama 3.1 70B Base,underspecified context,GSM8K,Base,0.8096676737160121,0.22093981863149217,0.3471502590673575
Llama 3.1 70B Base,underspecified context,MMLU History,Base,1.0,0.02564102564102564,0.05
Llama 3.1 70B Base,underspecified context,MediQ,Base,0.990909090909091,0.0773598296664301,0.14351547070441079
Llama 3.1 70B Base,underspecified context,Musique,Base,0.9941348973607038,0.5151975683890577,0.6786786786786787
Llama 3.1 70B Base,underspecified context,QASPER,Base,0.20909090909090908,0.8734177215189873,0.3374083129584352
Llama 3.1 70B Base,underspecified context,SQuAD 2.0,Base,0.9938900203665988,0.5511010728402033,0.70904467853251
Llama 3.1 70B Base,underspecified context,UMWP,Base,0.9212062256809338,0.5414522584333905,0.6820309686712279
Llama 3.1 70B Base,underspecified context,WorldSense,Base,0.7686496694995278,0.9421296296296297,0.8465938637545501
Llama 3.1 70B Base,underspecified intent,CoCoNot/Incomprehensible,Base,1.0,0.3877551020408163,0.5588235294117647
Llama 3.1 70B Base,underspecified intent,KUQ/Ambiguous,Base,0.7978142076502732,0.48344370860927155,0.6020618556701031
Llama 3.1 70B Base,underspecified intent,SituatedQA/Geo,Base,0.5957446808510638,0.43410852713178294,0.5022421524663677
Llama 3.1 70B Instruct,answer unknown,BB/Known unknowns,Instruct,0.9583333333333334,1.0,0.9787234042553191
Llama 3.1 70B Instruct,answer unknown,CoCoNot/Unknowns,Instruct,1.0,0.9850746268656716,0.9924812030075187
Llama 3.1 70B Instruct,answer unknown,CoCoNot/Unsupported,Instruct,0.9805825242718447,0.8416666666666667,0.905829596412556
Llama 3.1 70B Instruct,answer unknown,KUQ/Future unknowns,Instruct,0.8864628820960698,0.6226993865030674,0.7315315315315315
Llama 3.1 70B Instruct,answer unknown,KUQ/Unsolved problems,Instruct,0.8625,0.5872340425531914,0.6987341772151898
Llama 3.1 70B Instruct,false premise,CoCoNot/False presumptions,Instruct,0.9354838709677419,0.6987951807228916,0.8
Llama 3.1 70B Instruct,false premise,FalseQA,Instruct,0.8867469879518072,0.5356622998544396,0.6678765880217786
Llama 3.1 70B Instruct,false premise,KUQ/False assumptions,Instruct,0.864406779661017,0.575187969924812,0.690744920993228
Llama 3.1 70B Instruct,false premise,QAQA,Instruct,0.8571428571428571,0.4,0.5454545454545454
Llama 3.1 70B Instruct,stale,CoCoNot/Temporal,Instruct,1.0,0.6756756756756757,0.8064516129032258
Llama 3.1 70B Instruct,stale,FreshQA,Instruct,0.3010752688172043,0.5957446808510638,0.4
Llama 3.1 70B Instruct,subjective,CoCoNot/Humanizing,Instruct,1.0,0.9146341463414634,0.9554140127388535
Llama 3.1 70B Instruct,subjective,CoCoNot/Subjective,Instruct,1.0,0.6933333333333334,0.8188976377952756
Llama 3.1 70B Instruct,subjective,KUQ/Controversial,Instruct,0.9036697247706422,0.5845697329376854,0.7099099099099099
Llama 3.1 70B Instruct,subjective,MoralChoice,Instruct,0.9821428571428571,0.2426470588235294,0.3891509433962264
Llama 3.1 70B Instruct,underspecified context,ALCUNA,Instruct,0.9129782445611403,0.7026558891454965,0.7941272430668842
Llama 3.1 70B Instruct,underspecified context,BB/Disambiguate,Instruct,0.45,0.96,0.6127659574468085
Llama 3.1 70B Instruct,underspecified context,BBQ,Instruct,0.9658064516129032,0.8419572553430821,0.8996394230769231
Llama 3.1 70B Instruct,underspecified context,GPQA-Diamond,Instruct,0.9473684210526315,0.45,0.6101694915254238
Llama 3.1 70B Instruct,underspecified context,GSM8K,Instruct,0.9991266375545852,0.9431162407254741,0.9703138252756573
Llama 3.1 70B Instruct,underspecified context,MMLU History,Instruct,0.9333333333333333,0.358974358974359,0.5185185185185185
Llama 3.1 70B Instruct,underspecified context,MMLU Math,Instruct,0.98989898989899,0.7368421052631579,0.8448275862068966
Llama 3.1 70B Instruct,underspecified context,MediQ,Instruct,0.9921875,0.18026969481902058,0.3051051051051051
Llama 3.1 70B Instruct,underspecified context,Musique,Instruct,0.9011194029850746,0.7340425531914894,0.8090452261306532
Llama 3.1 70B Instruct,underspecified context,QASPER,Instruct,0.23588039867109634,0.8987341772151899,0.3736842105263158
Llama 3.1 70B Instruct,underspecified context,SQuAD 2.0,Instruct,0.9756944444444444,0.6346696781479391,0.7690728703386931
Llama 3.1 70B Instruct,underspecified context,UMWP,Instruct,0.9959709911361805,0.7062857142857143,0.8264794383149449
Llama 3.1 70B Instruct,underspecified context,WorldSense,Instruct,0.6670480549199085,0.6747685185185185,0.6708860759493671
Llama 3.1 70B Instruct,underspecified intent,CoCoNot/Incomprehensible,Instruct,1.0,0.8367346938775511,0.9111111111111111
Llama 3.1 70B Instruct,underspecified intent,KUQ/Ambiguous,Instruct,0.6749116607773852,0.6324503311258278,0.652991452991453
Llama 3.1 70B Instruct,underspecified intent,SituatedQA/Geo,Instruct,0.5573770491803278,0.5271317829457365,0.5418326693227091
Llama 3.1 70B Tulu 3 DPO,answer unknown,BB/Known unknowns,DPO,0.92,1.0,0.9583333333333334
Llama 3.1 70B Tulu 3 DPO,answer unknown,CoCoNot/Unknowns,DPO,1.0,1.0,1.0
Llama 3.1 70B Tulu 3 DPO,answer unknown,CoCoNot/Unsupported,DPO,0.9913793103448276,0.9583333333333334,0.9745762711864406
Llama 3.1 70B Tulu 3 DPO,answer unknown,KUQ/Future unknowns,DPO,0.8926174496644296,0.8159509202453987,0.8525641025641025
Llama 3.1 70B Tulu 3 DPO,answer unknown,KUQ/Unsolved problems,DPO,0.868421052631579,0.7021276595744681,0.7764705882352941
Llama 3.1 70B Tulu 3 DPO,false premise,CoCoNot/False presumptions,DPO,0.9565217391304348,0.7951807228915663,0.868421052631579
Llama 3.1 70B Tulu 3 DPO,false premise,FalseQA,DPO,0.874384236453202,0.5167394468704513,0.6495882891125343
Llama 3.1 70B Tulu 3 DPO,false premise,KUQ/False assumptions,DPO,0.9020618556701031,0.6578947368421053,0.7608695652173914
Llama 3.1 70B Tulu 3 DPO,false premise,QAQA,DPO,0.8186813186813187,0.5228070175438596,0.6381156316916489
Llama 3.1 70B Tulu 3 DPO,stale,CoCoNot/Temporal,DPO,1.0,0.8108108108108109,0.8955223880597015
Llama 3.1 70B Tulu 3 DPO,stale,FreshQA,DPO,0.3389830508474576,0.851063829787234,0.48484848484848486
Llama 3.1 70B Tulu 3 DPO,subjective,CoCoNot/Humanizing,DPO,1.0,0.9390243902439024,0.9685534591194969
Llama 3.1 70B Tulu 3 DPO,subjective,CoCoNot/Subjective,DPO,1.0,0.9466666666666667,0.9726027397260274
Llama 3.1 70B Tulu 3 DPO,subjective,KUQ/Controversial,DPO,0.9060150375939849,0.7151335311572701,0.7993366500829188
Llama 3.1 70B Tulu 3 DPO,subjective,MoralChoice,DPO,0.9851485148514851,0.2926470588235294,0.4512471655328798
Llama 3.1 70B Tulu 3 DPO,underspecified context,ALCUNA,DPO,0.8736083824492469,0.7702078521939953,0.8186560294568886
Llama 3.1 70B Tulu 3 DPO,underspecified context,BB/Disambiguate,DPO,0.6341463414634146,0.3466666666666667,0.4482758620689655
Llama 3.1 70B Tulu 3 DPO,underspecified context,BBQ,DPO,0.9403973509933775,0.8785151856017998,0.9084036056993312
Llama 3.1 70B Tulu 3 DPO,underspecified context,GPQA-Diamond,DPO,0.9629629629629629,0.65,0.7761194029850746
Llama 3.1 70B Tulu 3 DPO,underspecified context,GSM8K,DPO,1.0,0.8911788953009069,0.942458587619878
Llama 3.1 70B Tulu 3 DPO,underspecified context,MMLU History,DPO,1.0,0.41025641025641024,0.5818181818181818
Llama 3.1 70B Tulu 3 DPO,underspecified context,MMLU Math,DPO,0.9764705882352941,0.6240601503759399,0.7614678899082569
Llama 3.1 70B Tulu 3 DPO,underspecified context,MediQ,DPO,0.9779411764705882,0.09439318665720368,0.17216828478964402
Llama 3.1 70B Tulu 3 DPO,underspecified context,Musique,DPO,0.8923654568210263,0.5417933130699089,0.6742316784869976
Llama 3.1 70B Tulu 3 DPO,underspecified context,QASPER,DPO,0.2664359861591695,0.9746835443037974,0.41847826086956524
Llama 3.1 70B Tulu 3 DPO,underspecified context,SQuAD 2.0,DPO,0.9642857142857143,0.5945793337097685,0.7355920363255326
Llama 3.1 70B Tulu 3 DPO,underspecified context,UMWP,DPO,0.996523754345307,0.49142857142857144,0.6582472254114046
Llama 3.1 70B Tulu 3 DPO,underspecified context,WorldSense,DPO,0.5116618075801749,0.8125,0.627906976744186
Llama 3.1 70B Tulu 3 DPO,underspecified intent,CoCoNot/Incomprehensible,DPO,1.0,0.9387755102040817,0.968421052631579
Llama 3.1 70B Tulu 3 DPO,underspecified intent,KUQ/Ambiguous,DPO,0.7070707070707071,0.695364238410596,0.7011686143572621
Llama 3.1 70B Tulu 3 DPO,underspecified intent,SituatedQA/Geo,DPO,0.5022026431718062,0.8837209302325582,0.6404494382022472
Llama 3.1 70B Tulu 3 PPO RLVF,answer unknown,BB/Known unknowns,PPO RLVF,0.9583333333333334,1.0,0.9787234042553191
Llama 3.1 70B Tulu 3 PPO RLVF,answer unknown,CoCoNot/Unknowns,PPO RLVF,1.0,1.0,1.0
Llama 3.1 70B Tulu 3 PPO RLVF,answer unknown,CoCoNot/Unsupported,PPO RLVF,0.9663865546218487,0.9583333333333334,0.9623430962343096
Llama 3.1 70B Tulu 3 PPO RLVF,answer unknown,KUQ/Future unknowns,PPO RLVF,0.9125874125874126,0.8006134969325154,0.8529411764705882
Llama 3.1 70B Tulu 3 PPO RLVF,answer unknown,KUQ/Unsolved problems,PPO RLVF,0.8808290155440415,0.723404255319149,0.794392523364486
Llama 3.1 70B Tulu 3 PPO RLVF,false premise,CoCoNot/False presumptions,PPO RLVF,0.9710144927536232,0.8072289156626506,0.881578947368421
Llama 3.1 70B Tulu 3 PPO RLVF,false premise,FalseQA,PPO RLVF,0.8822055137844611,0.512372634643377,0.6482504604051565
Llama 3.1 70B Tulu 3 PPO RLVF,false premise,KUQ/False assumptions,PPO RLVF,0.9025641025641026,0.6616541353383458,0.7635574837310195
Llama 3.1 70B Tulu 3 PPO RLVF,false premise,QAQA,PPO RLVF,0.8272251308900523,0.5543859649122806,0.6638655462184874
Llama 3.1 70B Tulu 3 PPO RLVF,stale,CoCoNot/Temporal,PPO RLVF,1.0,0.918918918918919,0.9577464788732394
Llama 3.1 70B Tulu 3 PPO RLVF,stale,FreshQA,PPO RLVF,0.3333333333333333,0.8936170212765957,0.48554913294797686
Llama 3.1 70B Tulu 3 PPO RLVF,subjective,CoCoNot/Humanizing,PPO RLVF,1.0,0.9146341463414634,0.9554140127388535
Llama 3.1 70B Tulu 3 PPO RLVF,subjective,CoCoNot/Subjective,PPO RLVF,1.0,0.92,0.9583333333333334
Llama 3.1 70B Tulu 3 PPO RLVF,subjective,KUQ/Controversial,PPO RLVF,0.8996282527881041,0.7181008902077152,0.7986798679867987
Llama 3.1 70B Tulu 3 PPO RLVF,subjective,MoralChoice,PPO RLVF,0.9853658536585366,0.29705882352941176,0.45649717514124294
Llama 3.1 70B Tulu 3 PPO RLVF,underspecified context,ALCUNA,PPO RLVF,0.8718116415958143,0.7696304849884527,0.817540631708065
Llama 3.1 70B Tulu 3 PPO RLVF,underspecified context,BB/Disambiguate,PPO RLVF,0.7272727272727273,0.21333333333333335,0.32989690721649484
Llama 3.1 70B Tulu 3 PPO RLVF,underspecified context,BBQ,PPO RLVF,0.9377245508982036,0.8807649043869517,0.9083526682134571
Llama 3.1 70B Tulu 3 PPO RLVF,underspecified context,GPQA-Diamond,PPO RLVF,0.9629629629629629,0.65,0.7761194029850746
Llama 3.1 70B Tulu 3 PPO RLVF,underspecified context,GSM8K,PPO RLVF,1.0,0.8779884583676835,0.9350307287093942
Llama 3.1 70B Tulu 3 PPO RLVF,underspecified context,MMLU History,PPO RLVF,1.0,0.358974358974359,0.5283018867924528
Llama 3.1 70B Tulu 3 PPO RLVF,underspecified context,MediQ,PPO RLVF,0.9907407407407407,0.07594038325053229,0.14106789716545814
